Status,,,,
,Manhwa Name,Chapters,Status,Link 
,High School Soldier,280,HIATUS,https://mangafire.to/manga/mercenary-enrollmentt.pr6o4
,Sword Master's Youngest Son,201,HIATUS,https://mangafire.to/manga/the-swordmasters-sonn.29yqq
,Reformation of Deadbeat Noble,140,HIATUS,https://mangafire.to/manga/the-lazy-lord-masters-the-swordd.ykk9z
,Transcension Academy,174,HIATUS,https://mangafire.to/manga/transcension-academyy.5klr0
,I Became a Part-Time Employee for Gods,100,HIATUS,https://mangafire.to/manga/albanara-of-the-godss.oo20z
,Golden Print,83,HIATUS,https://mangafire.to/manga/golden-printt.42znx
,Martial God Regressed to Level 2,113,HIATUS,https://mangafire.to/manga/the-god-of-war-who-regressed-to-level-22.6wjv7
,Academy Genius Sword Master,129,HIATUS,https://mangafire.to/manga/academy-cheonjaekaljabii.3p4or
,The Genius Assassin Who Takes It All,70,HIATUS,https://mangafire.to/manga/the-genius-assassin-who-eats-everythingg.v9xvv
,Miracle Physical Therapist,106,HIATUS,https://mangafire.to/manga/miracle-physical-therapistt.pp4n9
,A regressor road to retirement,94,HIATUS,https://mangafire.to/manga/retirement-life-of-a-returnerr.rwypp
,All soccer talents are mine,105,HIATUS,https://mangafire.to/manga/all-soccer-talents-are-minee.np058
,reincarnated demon god,58,HIATUS,https://mangafire.to/manga/chronicles-of-the-reincarnated-demon-god.v9kw2
,Executioner ,50,HIATUS,https://mangafire.to/manga/the-executioner-lee-jehwann.rwk1q
,Extra academy survival guide ,100,HIATUS,https://mangafire.to/manga/the-extras-academy-survival-guidee.w50ll
,Solo levelling ragnarok ,68,HIATUS,https://mangafire.to/manga/na-honjaman-level-up-ragnarokk.ppx06
,The regressed demon lord is kind,59,HIATUS,https://mangafire.to/manga/the-returning-devil-lives-a-good-lifee.3pl9y
,The regressed s class adventurer quest life ,46,HIATUS,https://mangafire.to/manga/kikan-shita-s-kyuu-boukensha-no-kuesuto-seikatsuu.mv1lx
,Why I quit being demon king ,71,HIATUS,https://mangafire.to/manga/the-reason-why-i-quit-being-the-demon-kingg.pp5vq
,Iron blooded necromancer has returned,45,HIATUS,https://mangafire.to/manga/the-iron-blooded-necromancer-has-returnedd.0q907
,Overpowered cop ,53,HIATUS,https://mangafire.to/manga/the-overpowered-cop.6wmq7
,Myst mayhem might,109,HIATUS,https://mangafire.to/manga/the-chaotic-god-of-extraordinary-strengthh.np7nj
,Count’s youngest son is gamer,126,HIATUS,https://mangafire.to/manga/the-counts-youngest-son-is-a-playerr.6w4v4
,Dr player ,65,HIATUS,https://mangafire.to/manga/doctor-playerr.1r6op
,Emperor sword,113,HIATUS,https://mangafire.to/manga/the-emperors-swordd.np4mm
,Surviving as a genius on borrowed time,75,HIATUS,https://mangafire.to/manga/how-a-terminally-ill-genius-survivess.8xrmv
,Hunter academy battle god ,40,HIATUS,https://mangafire.to/manga/hunter-academys-strongest-battle-god22.lr7v6
,Monarch of death,40,HIATUS,https://mangafire.to/manga/monarch-of-deathh.ppvn6
,Raided the God warehouse,50,HIATUS,https://mangafire.to/manga/raided-the-gods-warehousee.w52r4
,Successor of martial god,41,HIATUS,https://mangafire.to/manga/i-became-the-successor-of-the-martial-god.lx3mq
,Night of soulless heathens,61,HIATUS,https://mangafire.to/manga/the-shadowed-legacy-of-the-soulless-messenger.1qp6x
,Reincarnated as a Genius Prodigy of a Prestigious Family.,59,HIATUS,https://mangafire.to/manga/reincarnated-as-a-genius-prodigy-of-a-prestigious-familyy.6wp77
,Moon shadow sword emperor ,85,HIATUS,https://mangafire.to/manga/moon-shadow-sword-emperorr.jjxl3
,Legendary ranker comeback,53,HIATUS,https://mangafire.to/manga/return-of-the-top-0001-rankerr.w51q4
,School Life pretending to be a worthless ,124,HIATUS,https://mangafire.to/manga/my-school-life-pretending-to-be-a-worthless-personn.v5kj6
,i can do it ,77,HIATUS,https://mangafire.to/manga/i-can-do-itt.lry06
,Emperor of steel ,53,HIATUS,https://mangafire.to/manga/emperor-of-steel.2pr2l
,I Picked a Hammer to Save the World,102,HIATUS,https://mangafire.to/manga/the-hammerr.90y4m
,White Tower Rogue Mage,44,HIATUS,https://mangafire.to/manga/the-magic-tower-problematic-child.x1jo3
,Genius archer streaming ,80,HIATUS,https://mangafire.to/manga/genius-archers-streamingg.qnm3n
,Regressor tale of cultivation,25,HIATUS,https://mangafire.to/manga/hoegwisuseonjeon.wq6ml
,Artifact devouring player,34,HIATUS,https://mangafire.to/manga/artifact-devouring-player.vqv54
,Grand mudang saga,157,HIATUS,https://mangafire.to/manga/mudanggihyeopp.mqrlx
,World’s best kunlun tavern,115,HIATUS,https://mangafire.to/manga/the-worlds-best-kunlun-tavern.xvw23
,Yong Heir Clan,55,HIATUS,https://mangafire.to/manga/regression-of-the-yong-clan-heir.lrv86
,Script eating actor,50,HIATUS,https://mangafire.to/manga/the-script-eating-actor.3071r
,Life starts as a child actor,60,HIATUS,https://mangafire.to/manga/im-going-to-be-the-child-actor-in-this-lifee.xv088
,Genesis of battle god ,44,HIATUS,https://mangafire.to/manga/genesis-of-the-battle-godd.qn05j
,Genius game streamer,58,HIATUS,https://mangafire.to/manga/a-genius-game-streamerr.lr9yq
ONGOING,,,,
,Solo Bug Player,189,ONGOING,https://mangafire.to/manga/solo-bug-playerr.nrxvk
,Reaper of Drifting Moon,134,ONGOING,https://mangafire.to/manga/reaper-of-the-drifting-moonn.kw654
,Dark Mage’s Enlistment,77,ONGOING,https://mangafire.to/manga/returned-to-the-day-i-joined-the-armyy.mvmqz
,Grand Mage Returns (4000 Yrs),251,ONGOING,https://mangafire.to/manga/the-archmage-returns-after-4000-yearss.m2q3v
